,accDefRate,accExamCnt,accExamCompCnt,careCnt,clearCnt,createDt,deathCnt,decideCnt,examCnt,resutlNegCnt,seq,stateDt,stateTime,updateDt
0,2.5398949325,15849303,14425203,26174,337353,2021-11-01 06:42:25.145,2858,366385,1424100,14058818,684,20211101,00:00,2021-11-02 11:06:11.332
1,2.5296344210,15804065,14417103,25303,336548,2021-10-31 09:17:32.729,2849,364700,1386962,14052403,683,20211031,00:00,2021-11-01 06:35:47.19
2,2.5167069578,15775700,14409266,25228,334581,2021-10-30 09:42:07.803,2830,362639,1366434,14046627,682,20211030,00:00,2021-11-01 06:34:29.569
3,2.5085768649,15730785,14372093,24723,332995,2021-10-29 09:31:17.46,2817,360535,1358692,14011558,681,20211029,00:00,2021-11-01 06:34:22.778
4,2.5082902607,15678186,14289056,24750,330853,2021-10-28 09:33:44.198,2808,358411,1389130,13930645,680,20211028,00:00,2021-11-01 06:34:15.071
5,2.5019099621,15628306,14241120,23845,329658,2021-10-27 10:10:24.763,2797,356300,1387186,13884820,679,20211027,00:00,2021-10-30 09:44:12.063
6,2.4932471843,15579430,14212590,23975,327592,2021-10-26 09:39:33.439,2788,354355,1366840,13858235,677,20211026,00:00,2021-10-26 19:11:36.585
7,2.4931384199,15530472,14162190,25862,324448,2021-10-25 09:45:03.736,2773,353083,1368282,13809107,676,20211025,00:00,2021-10-30 09:44:54.809
8,2.4867673642,15504979,14150620,25734,323393,2021-10-24 09:33:19.08,2766,351893,1354359,13798727,675,20211024,00:00,2021-10-30 09:45:50.551
9,2.4782031513,15481469,14142182,25191,322536,2021-10-23 10:02:54.872,2745,350472,1339287,13791710,674,20211023,00:00,2021-10-28 09:30:49.899
10,2.4731308076,15437382,14110212,25922,320317,2021-10-22 09:40:09.614,2725,348964,1327170,13761248,673,20211022,00:00,2021-10-28 09:30:42.515
11,2.4721894162,15392004,14057418,27062,317755,2021-10-21 09:43:46.67,2709,347526,1334586,13709892,672,20211021,00:00,2021-10-28 09:30:26.032
12,2.4685802309,15344729,14019597,26780,316607,2021-10-20 09:37:29.36,2698,346085,1325132,13673512,671,20211020,00:00,2021-10-28 09:30:16.686
13,2.4655589015,15296830,13973059,28393,313432,2021-10-19 09:37:01.052,2689,344514,1323771,13628545,670,20211019,00:00,2021-10-28 09:30:04.103
14,2.4662245130,15246346,13925780,28992,311781,2021-10-18 09:39:38.125,2668,343441,1320566,13582339,669,20211018,00:00,2021-10-28 09:29:55.295
15,2.4617514369,15220864,13908431,29387,310344,2021-10-17 10:04:43.41,2660,342391,1312433,13566040,668,20211017,00:00,2021-10-28 09:29:46.068
16,2.4521548219,15198187,13904954,30140,308187,2021-10-16 09:35:29.169,2644,340971,1293233,13563983,667,20211016,00:00,2021-10-28 09:29:35.805
17,2.4513858745,15152521,13843353,30877,305851,2021-10-15 09:39:06.702,2626,339354,1309168,13503999,666,20211015,00:00,2021-10-28 19:13:07.804
18,2.4451502864,15106360,13809826,31334,303719,2021-10-14 09:34:17.552,2618,337671,1296534,13472155,665,20211014,00:00,2021-10-28 09:28:39.581
19,2.4369827440,15062412,13776544,31061,302066,2021-10-13 09:35:45.02,2605,335732,1285868,13440812,664,20211013,00:00,2021-10-28 09:28:28.48
20,2.4335792555,15007572,13730763,32295,299260,2021-10-12 10:34:11.074,2594,334149,1276809,13396614,663,20211012,00:00,2021-10-28 09:28:16.636
21,2.4253840387,14977407,13721662,32198,298022,2021-10-11 09:36:36.635,2583,332803,1255745,13388859,662,20211011,00:00,2021-10-28 09:28:03.328
22,2.4215310314,14951646,13689934,32223,296708,2021-10-10 09:40:09.109,2575,331506,1261712,13358428,661,20211010,00:00,2021-10-28 09:27:46.567
23,2.4118597481,14925863,13678739,32423,294929,2021-10-09 09:42:58.176,2560,329912,1247124,13348827,660,20211009,00:00,2021-10-28 09:27:35.791
24,2.4027481497,14882186,13649329,33314,292091,2021-10-08 09:46:59.694,2554,327959,1232857,13321370,659,20211008,00:00,2021-10-28 09:27:22.408
25,2.3965178152,14833965,13594224,34422,288822,2021-10-07 09:48:27.592,2544,325788,1239741,13268436,658,20211007,00:00,2021-10-28 09:27:02.424
26,2.3844829530,14780938,13561137,33787,287040,2021-10-06 09:49:43.197,2536,323363,1219801,13237774,657,20211006,00:00,2021-10-28 09:26:50.574
27,2.3797170401,14731627,13503118,34615,284197,2021-10-05 09:54:11.433,2524,321336,1228509,13181782,656,20211005,00:00,2021-10-28 09:26:38.781
28,2.3712389557,14701211,13485018,34580,282669,2021-10-04 09:50:15.715,2513,319762,1216193,13165256,655,20211004,00:00,2021-10-28 09:26:15.517
29,2.3610926678,14675115,13472237,36738,278847,2021-10-03 10:22:27.003,2507,318092,1202878,13154145,654,20211003,00:00,2021-10-28 09:26:02.548
30,2.3468498991,14644685,13465156,36411,277092,2021-10-02 09:52:30.389,2504,316007,1179529,13149149,653,20211002,00:00,2021-11-01 06:39:30.832
31,2.3367517214,14596211,13427186,35687,275576,2021-10-01 09:57:42.109,2497,313760,1169025,13113426,652,20211001,00:00,2021-11-01 06:39:17.105
32,2.3238937994,14544246,13394588,34590,274205,2021-09-30 09:58:40.205,2481,311276,1149658,13083312,651,20210930,00:00,2021-11-01 06:39:07.437
33,2.3128818186,14485251,13347634,33517,272724,2021-09-29 09:58:03.378,2474,308715,1137617,13038919,650,20210929,00:00,2021-11-01 06:38:56.4
34,2.3012044013,14425565,13290171,32442,270928,2021-09-28 09:57:34.945,2464,305834,1135394,12984337,649,20210928,00:00,2021-11-01 06:38:31.954
35,2.2916366729,14365928,13245817,31958,269132,2021-09-27 10:08:41.366,2456,303546,1120111,12942271,648,20210927,00:00,2021-11-01 06:38:21.019
36,2.2765394695,14325932,13229070,30575,268140,2021-09-26 09:38:04.296,2450,301165,1096862,12927905,647,20210926,00:00,2021-11-01 06:38:11.541
37,2.2556083498,14285337,13229114,29545,266411,2021-09-25 10:49:15.225,2441,298397,1056223,12930717,646,20210925,00:00,2021-10-27 21:20:33.866
38,2.2373051937,14221682,13191182,28203,264490,2021-09-24 09:53:29.116,2434,295127,1030500,12896055,645,20210924,00:00,2021-10-28 19:03:18.131
39,2.2315508683,14151069,13116349,27431,262840,2021-09-23 10:01:14.491,2427,292698,1034720,12823651,644,20210923,00:00,2021-10-28 19:04:10.216
40,2.2187986844,14112435,13114439,26754,261810,2021-09-22 09:35:53.93,2419,290983,997996,12823456,643,20210922,00:00,2021-09-29 20:01:46.502
41,2.2055202395,14081284,13115409,26762,260088,2021-09-21 09:39:49.437,2413,289263,965875,12826146,642,20210921,00:00,2021-09-29 20:03:48.311
42,2.1953447092,14050974,13097442,26117,259008,2021-09-20 09:09:41.18,2409,287534,953532,12809908,641,20210920,00:00,2021-09-29 20:04:59.469
43,2.1846289164,14020498,13088264,26080,257447,2021-09-19 09:31:46.109,2403,285930,932234,12802334,640,20210919,00:00,2021-09-29 20:06:48.46
44,2.1732822659,13986615,13068758,25615,256012,2021-09-18 09:58:15.323,2394,284021,917857,12784737,639,20210918,00:00,2021-10-28 19:15:16.036
45,2.1657706317,13938955,13017722,25467,254078,2021-09-17 10:15:01.593,2389,281934,921233,12735788,638,20210917,00:00,2021-10-28 19:14:59.754
46,2.1581912906,13890499,12970398,25512,252028,2021-09-16 09:51:44.269,2386,279926,920101,12690472,637,20210916,00:00,2021-10-28 19:14:42.389
47,2.1507521063,13839087,12924967,25784,249820,2021-09-15 09:51:20.667,2380,277984,914120,12646983,636,20210915,00:00,2021-10-28 19:14:12.98
48,2.1429205506,13790239,12875839,25905,247647,2021-09-14 09:45:02.459,2367,275919,914400,12599920,635,20210914,00:00,2021-10-28 19:13:59.622
49,2.1421622059,13735740,12810001,26560,245491,2021-09-13 09:40:59.629,2360,274411,925739,12535590,634,20210913,00:00,2021-10-28 19:20:08.897
50,2.1336817950,13704173,12793754,26174,244445,2021-09-12 09:35:58.19,2359,272978,910419,12520776,633,20210912,00:00,2021-10-28 19:21:16.406
51,2.1238438972,13665460,12770383,25921,242944,2021-09-11 09:42:37.082,2358,271223,895077,12499160,632,20210911,00:00,2021-10-28 19:22:56.574
52,2.1165404367,13615055,12726381,26295,240716,2021-09-10 09:40:06.372,2348,269359,888674,12457022,631,20210910,00:00,2021-10-28 19:22:17.484
53,2.1108607132,13568869,12670945,26222,238901,2021-09-09 09:40:59.551,2343,267466,897924,12403479,630,20210909,00:00,2021-10-28 19:38:20.905
54,2.1029508357,13519664,12621170,25813,237270,2021-09-08 09:39:50.468,2334,265417,898494,12355753,629,20210908,00:00,2021-10-28 19:38:49.98
55,2.0933234213,13468412,12581429,25831,235209,2021-09-07 09:39:03.178,2330,263370,886983,12318059,628,20210907,00:00,2021-10-28 19:39:14.738
56,2.0899330761,13416743,12525425,25768,233678,2021-09-06 09:43:09.889,2327,261773,891318,12263652,627,20210906,00:00,2021-10-28 19:39:41.096
57,2.0818451237,13382733,12508039,25760,232317,2021-09-05 10:48:36.114,2321,260398,874694,12247641,626,20210905,00:00,2021-10-28 19:40:09.375
58,2.0712936609,13350356,12499821,26203,230390,2021-09-04 09:41:36.458,2315,258908,850535,12240913,624,20210904,00:00,2021-10-28 19:40:31.254
59,2.0631981163,13286677,12461479,26194,228603,2021-09-03 09:44:30.979,2308,257105,825198,12204374,623,20210903,00:00,2021-10-28 19:40:56.019
60,2.0590600836,13223511,12403572,26888,226206,2021-09-02 09:37:25.055,2303,255397,819939,12148175,622,20210902,00:00,2021-10-28 19:41:37.871
61,2.0486112823,13152140,12371161,26840,224305,2021-09-01 09:37:02.395,2292,253437,780979,12117724,621,20210901,00:00,2021-10-28 19:42:08.953
62,2.0368097463,13094711,12343470,27440,221688,2021-08-31 00:00:00.0,2285,251413,751241,12092057,590,20210831,00:00,2021-10-28 19:43:17.524
63,2.0357048445,13049678,12282871,27413,220346,2021-08-30 00:00:00.0,2284,250043,766807,12032828,589,20210830,00:00,2021-10-28 19:44:30.053
64,2.0284939755,13015921,12253327,27566,218713,2021-08-29 00:00:00.0,2279,248558,762594,12004769,588,20210829,00:00,2021-10-28 19:50:42.937
65,2.0174245601,12983486,12240309,27689,216974,2021-08-28 00:00:00.0,2276,246939,743177,11993370,587,20210828,00:00,2021-10-28 19:51:25.711
66,2.0078775950,12927789,12209310,28224,214659,2021-08-27 00:00:00.0,2265,245148,718479,11964162,586,20210827,00:00,2021-10-28 19:52:24.206
67,2.0015386389,12866797,12156198,28194,212860,2021-08-26 00:00:00.0,2257,243311,710599,11912887,585,20210826,00:00,2021-10-28 19:53:00.801
68,1.9937943791,12806608,12109022,28038,211154,2021-08-25 00:00:00.0,2237,241429,697586,11867593,584,20210825,00:00,2021-10-28 19:53:45.286
69,1.9837816985,12749751,12061559,27873,209174,2021-08-24 00:00:00.0,2228,239275,688192,11822284,583,20210824,00:00,2021-10-28 19:54:27.094
70,1.9806118815,12694018,12004775,27962,207584,2021-08-23 00:00:00.0,2222,237768,689243,11767007,582,20210823,00:00,2021-10-28 19:55:03.137
71,1.9719111271,12664332,11985885,27879,206257,2021-08-22 00:00:00.0,2215,236351,678447,11749534,581,20210822,00:00,2021-10-28 19:55:44.759
72,1.9618302101,12632591,11964593,28025,204498,2021-08-21 00:00:00.0,2202,234725,667998,11729868,580,20210821,00:00,2021-10-28 19:56:39.865
73,1.9562292672,12567090,11907500,27987,202754,2021-08-20 00:00:00.0,2197,232938,659590,11674562,579,20210820,00:00,2021-10-28 19:57:43.769
74,1.9450436142,12518695,11865955,27394,201213,2021-08-19 00:00:00.0,2191,230798,652740,11635157,578,20210819,00:00,2021-10-28 19:58:28.318
75,1.9332627544,12461676,11826949,26904,199564,2021-08-18 00:00:00.0,2178,228646,634727,11598303,577,20210818,00:00,2021-10-28 20:16:22.884
76,1.8771729143,12404969,12084289,27459,197211,2021-08-17 00:00:00.0,2173,226843,320680,11857446,576,20210817,00:00,2021-10-28 20:17:26.816
77,1.9144144144,12372769,11777544,27118,196186,2021-08-16 00:00:00.0,2167,225471,595225,11552073,575,20210816,00:00,2021-10-28 20:18:00.209
78,1.9041241268,12344711,11759580,26670,195091,2021-08-15 00:00:00.0,2156,223917,585131,11535663,574,20210815,00:00,2021-10-28 20:19:10.498
79,1.8907735433,12309273,11746568,26187,193766,2021-08-14 00:00:00.0,2148,222101,562705,11524467,573,20210814,00:00,2021-10-28 20:19:59.1
80,1.8788618674,12257959,11718424,25794,192235,2021-08-13 00:00:00.0,2144,220173,539535,11498251,572,20210813,00:00,2021-10-28 20:20:39.71
81,1.8653085221,12207035,11696939,25527,190519,2021-08-12 00:00:00.0,2138,218184,510096,11478755,571,20210812,00:00,2021-10-28 20:25:41.348
82,1.8528855321,12156192,11668125,24571,189491,2021-08-11 00:00:00.0,2135,216197,488067,11451928,570,20210811,00:00,2021-10-28 20:26:29.769
83,1.8373099383,12112079,11646157,24334,187508,2021-08-10 00:00:00.0,2134,213976,465922,11432181,569,20210810,00:00,2021-10-28 20:27:07.024
84,1.8329008458,12057824,11590316,24088,186226,2021-08-09 00:00:00.0,2125,212439,467508,11377877,568,20210809,00:00,2021-10-28 20:27:36.514
85,1.8246269102,12027437,11561158,23840,184987,2021-08-08 00:00:00.0,2121,210948,466279,11350210,567,20210808,00:00,2021-10-28 20:31:36.737
86,1.811282604,11995923,11550986,23435,183670,2021-08-07 00:00:00.000,2116,209221,444937,11341765,566,20210807,00:00,2021-10-07 10:30:51.51
87,1.799611891,11951646,11524596,22828,182457,2021-08-06 00:00:00.000,2113,207398,427050,11317198,565,20210806,00:00,2021-10-07 10:30:51.51
88,1.789742069,11908430,11492941,22863,180722,2021-08-05 00:00:00.000,2109,205694,415489,11287247,564,20210805,00:00,2021-10-07 10:30:51.51
89,1.77841233,11864240,11466351,22425,179388,2021-08-04 00:00:00.000,2106,203919,397889,11262432,563,20210804,00:00,2021-10-07 10:30:51.51
90,1.765622622,11820011,11451711,22300,177790,2021-08-03 00:00:00.000,2104,202194,368300,11249517,562,20210803,00:00,2021-10-07 10:30:51.51
91,1.765361674,11772599,11385429,22323,176572,2021-08-02 00:00:00.000,2099,200994,387170,11184435,561,20210802,00:00,2021-10-07 10:30:51.51
92,1.756553576,11751780,11373180,22411,175267,2021-08-01 00:00:00.000,2098,199776,378600,11173404,560,20210801,00:00,2021-10-07 10:30:51.51
93,1.745957213,11728815,11359614,21898,174341,2021-07-31 00:00:00.000,2095,198334,369201,11161280,559,20210731,00:00,2021-10-07 10:30:51.51
94,1.737598412,11682962,11325747,21860,172847,2021-07-30 00:00:00.000,2089,196796,357215,11128951,558,20210730,00:00,2021-10-07 10:30:51.51
95,1.727162415,11637500,11295174,21573,171428,2021-07-29 00:00:00.000,2085,195086,342326,11100088,557,20210729,00:00,2021-10-07 10:30:51.51
96,1.717447696,11585607,11261653,21100,170230,2021-07-28 00:00:00.000,2083,193413,323954,11068240,556,20210728,00:00,2021-10-07 10:30:51.51
97,1.707057587,11528602,11219188,20273,169166,2021-07-27 00:00:00.000,2079,191518,309414,11027670,555,20210727,00:00,2021-10-07 10:30:51.51
98,1.699126896,11472339,11191336,20776,167302,2021-07-26 00:00:00.000,2077,190155,281003,11001181,554,20210726,00:00,2021-10-07 10:30:51.51
99,1.689275533,11453340,11178579,20725,166039,2021-07-25 00:00:00.000,2073,188837,274761,10989742,553,20210725,00:00,2021-10-07 10:30:51.51
100,1.67939231,11430518,11155821,19335,165947,2021-07-24 00:00:00.000,2068,187350,274697,10968471,552,20210724,00:00,2021-10-07 10:30:51.51
101,1.671630834,11388299,11110288,18838,164819,2021-07-23 00:00:00.000,2066,185723,278011,10924565,551,20210723,00:00,2021-10-07 10:30:51.51
102,1.662335814,11343913,11074417,18251,163780,2021-07-22 00:00:00.000,2063,184094,269496,10890323,550,20210722,00:00,2021-10-07 10:30:51.51
103,1.649873688,11298669,11046482,17546,162647,2021-07-21 00:00:00.000,2060,182253,252187,10864229,549,20210721,00:00,2021-10-07 10:30:51.51
104,1.639564831,11251982,11007311,17206,161207,2021-07-20 00:00:00.000,2059,180472,244671,10826839,548,20210720,00:00,2021-10-07 10:30:51.51
105,1.634722225,11202429,10961740,17216,159920,2021-07-19 00:00:00.000,2058,179194,240689,10782546,547,20210719,00:00,2021-10-07 10:30:51.51
106,1.630927675,11175977,10910539,16683,159203,2021-07-18 00:00:00.000,2057,177943,265438,10732596,546,20210718,00:00,2021-10-07 10:30:51.51
107,1.615973942,11149223,10921587,15907,158528,2021-07-17 00:00:00.000,2055,176490,227636,10745097,545,20210717,00:00,2021-10-07 10:30:51.51
108,1.60729781,11108582,10890390,15457,157533,2021-07-16 00:00:00.000,2051,175041,218192,10715349,544,20210716,00:00,2021-10-07 10:30:51.51
109,1.598253496,11060454,10855975,14770,156686,2021-07-15 00:00:00.000,2050,173506,204479,10682469,543,20210715,00:00,2021-10-07 10:30:51.51
110,1.587769115,11008857,10826952,13775,156084,2021-07-14 00:00:00.000,2048,171907,181905,10655045,542,20210714,00:00,2021-10-07 10:30:51.51
111,1.578964888,10964297,10785167,13183,155065,2021-07-13 00:00:00.000,2046,170294,179130,10614873,541,20210713,00:00,2021-10-07 10:30:51.51
112,1.574131766,10919896,10745225,12775,154325,2021-07-12 00:00:00.000,2044,169144,174671,10576081,540,20210712,00:00,2021-10-07 10:30:51.51
